action,group,payoff,player,round,reputation,avg_action,wealth
0.0,9,0,3,78,reputation = 0,0.2894736842105263,2850.0
,9,0,3,79,reputation = 0,0.2894736842105263,2850.0
0.0,9,0,3,80,reputation = 0,0.28205128205128205,2850.0
,9,0,3,81,reputation = 0,0.28205128205128205,2850.0
,9,0,3,82,reputation = 0,0.28205128205128205,2850.0
,9,0,3,83,reputation = 0,0.28205128205128205,2850.0
0.0,9,0,3,84,reputation = 0,0.275,2850.0
0.0,9,0,3,85,reputation = 0,0.2682926829268293,2850.0
0.0,9,0,3,86,reputation = 0,0.2619047619047619,2850.0
0.0,9,0,3,87,reputation = 0,0.2558139534883721,2850.0
0.0,9,0,3,88,reputation = 0,0.25,2850.0
0.0,9,0,3,89,reputation = 0,0.24444444444444444,2850.0
,9,0,3,90,reputation = 0,0.24444444444444444,2850.0
,9,0,3,91,reputation = 0,0.24444444444444444,2850.0
0.0,9,0,3,92,reputation = 0,0.2391304347826087,2850.0
0.0,9,0,3,93,reputation = 0,0.23404255319148937,2850.0
0.0,9,0,3,94,reputation = 0,0.22916666666666666,2850.0
0.0,9,0,3,95,reputation = 0,0.22448979591836735,2850.0
0.0,9,0,3,96,reputation = 0,0.22,2850.0
0.0,9,0,4,1,reputation = 0,0.0,3000.0
,9,0,4,2,reputation = 0,0.0,3000.0
,9,0,4,3,reputation = 0,0.0,3000.0
,9,0,4,4,reputation = 0,0.0,3000.0
0.0,9,0,4,5,reputation = 0,0.0,3000.0
,9,0,4,6,reputation = 0,0.0,3000.0
0.0,9,0,4,7,reputation = 0,0.0,3000.0
0.0,9,0,4,8,reputation = 0,0.0,3000.0
0.0,9,0,4,9,reputation = 0,0.0,3000.0
,9,250,4,10,reputation = 0,0.0,3250.0
0.0,9,0,4,11,reputation = 0,0.0,3250.0
0.0,9,0,4,12,reputation = 0,0.0,3250.0
,9,0,4,13,reputation = 0,0.0,3250.0
0.0,9,0,4,14,reputation = 0,0.0,3250.0
0.0,9,0,4,15,reputation = 0,0.0,3250.0
,9,0,4,16,reputation = 0,0.0,3250.0
0.0,9,0,4,17,reputation = 0,0.0,3250.0
0.0,9,0,4,18,reputation = 0,0.0,3250.0
0.0,9,0,4,19,reputation = 0,0.0,3250.0
,9,0,4,20,reputation = 0,0.0,3250.0
,9,0,4,21,reputation = 0,0.0,3250.0
,9,0,4,22,reputation = 0,0.0,3250.0
0.0,9,0,4,23,reputation = 0,0.0,3250.0
,9,0,4,24,reputation = 0,0.0,3250.0
1.0,9,-150,4,25,reputation = 0,0.07142857142857142,3100.0
,9,250,4,26,reputation = 0,0.07142857142857142,3350.0
,9,0,4,27,reputation = 0,0.07142857142857142,3350.0
,9,0,4,28,reputation = 0,0.07142857142857142,3350.0
,9,250,4,29,reputation = 0,0.07142857142857142,3600.0
0.0,9,0,4,30,reputation = 0,0.06666666666666667,3600.0
0.0,9,0,4,31,reputation = 0,0.0625,3600.0
,9,0,4,32,reputation = 0,0.0625,3600.0
0.0,9,0,4,33,reputation = 0,0.058823529411764705,3600.0
,9,0,4,34,reputation = 0,0.058823529411764705,3600.0
0.0,9,0,4,35,reputation = 0,0.05555555555555555,3600.0
,9,0,4,36,reputation = 0,0.05555555555555555,3600.0
0.0,9,0,4,37,reputation = 0,0.05263157894736842,3600.0
,9,0,4,38,reputation = 0,0.05263157894736842,3600.0
1.0,9,-150,4,39,reputation = 0,0.1,3450.0
0.0,9,0,4,40,reputation = 0,0.09523809523809523,3450.0
0.0,9,0,4,41,reputation = 0,0.09090909090909091,3450.0
0.0,9,0,4,42,reputation = 0,0.08695652173913043,3450.0
0.0,9,0,4,43,reputation = 0,0.08333333333333333,3450.0
,9,0,4,44,reputation = 0,0.08333333333333333,3450.0
,9,0,4,45,reputation = 0,0.08333333333333333,3450.0
,9,0,4,46,reputation = 0,0.08333333333333333,3450.0
0.0,9,0,4,47,reputation = 0,0.08,3450.0
0.0,9,0,4,48,reputation = 0,0.07692307692307693,3450.0
,9,0,4,49,reputation = 0,0.07692307692307693,3450.0
0.0,9,0,4,50,reputation = 0,0.07407407407407407,3450.0
0.0,9,0,4,51,reputation = 0,0.07142857142857142,3450.0
,9,0,4,52,reputation = 0,0.07142857142857142,3450.0
0.0,9,0,4,53,reputation = 0,0.06896551724137931,3450.0
,9,250,4,54,reputation = 0,0.06896551724137931,3700.0
,9,0,4,55,reputation = 0,0.06896551724137931,3700.0
0.0,9,0,4,56,reputation = 0,0.06666666666666667,3700.0
1.0,9,-150,4,57,reputation = 0,0.0967741935483871,3550.0
,9,0,4,58,reputation = 0,0.0967741935483871,3550.0
,9,250,4,59,reputation = 0,0.0967741935483871,3800.0
,9,0,4,60,reputation = 0,0.0967741935483871,3800.0
,9,250,4,61,reputation = 0,0.0967741935483871,4050.0
,9,0,4,62,reputation = 0,0.0967741935483871,4050.0
,9,0,4,63,reputation = 0,0.0967741935483871,4050.0
0.0,9,0,4,64,reputation = 0,0.09375,4050.0
0.0,9,0,4,65,reputation = 0,0.09090909090909091,4050.0
,9,0,4,66,reputation = 0,0.09090909090909091,4050.0
0.0,9,0,4,67,reputation = 0,0.08823529411764706,4050.0
,9,0,4,68,reputation = 0,0.08823529411764706,4050.0
0.0,9,0,4,69,reputation = 0,0.08571428571428572,4050.0
,9,0,4,70,reputation = 0,0.08571428571428572,4050.0
0.0,9,0,4,71,reputation = 0,0.08333333333333333,4050.0
,9,0,4,72,reputation = 0,0.08333333333333333,4050.0
0.0,9,0,4,73,reputation = 0,0.08108108108108109,4050.0
,9,0,4,74,reputation = 0,0.08108108108108109,4050.0
0.0,9,0,4,75,reputation = 0,0.07894736842105263,4050.0
0.0,9,0,4,76,reputation = 0,0.07692307692307693,4050.0
0.0,9,0,4,77,reputation = 0,0.075,4050.0
,9,0,4,78,reputation = 0,0.075,4050.0
0.0,9,0,4,79,reputation = 0,0.07317073170731707,4050.0
,9,0,4,80,reputation = 0,0.07317073170731707,4050.0
,9,0,4,81,reputation = 0,0.07317073170731707,4050.0
0.0,9,0,4,82,reputation = 0,0.07142857142857142,4050.0
,9,0,4,83,reputation = 0,0.07142857142857142,4050.0
0.0,9,0,4,84,reputation = 0,0.06976744186046512,4050.0
0.0,9,0,4,85,reputation = 0,0.06818181818181818,4050.0
,9,0,4,86,reputation = 0,0.06818181818181818,4050.0
0.0,9,0,4,87,reputation = 0,0.06666666666666667,4050.0
,9,0,4,88,reputation = 0,0.06666666666666667,4050.0
,9,0,4,89,reputation = 0,0.06666666666666667,4050.0
,9,0,4,90,reputation = 0,0.06666666666666667,4050.0
0.0,9,0,4,91,reputation = 0,0.06521739130434782,4050.0
,9,0,4,92,reputation = 0,0.06521739130434782,4050.0
,9,0,4,93,reputation = 0,0.06521739130434782,4050.0
,9,0,4,94,reputation = 0,0.06521739130434782,4050.0
0.0,9,0,4,95,reputation = 0,0.06382978723404255,4050.0
0.0,9,0,4,96,reputation = 0,0.0625,4050.0
,9,0,5,1,reputation = 0,,3000.0
,9,0,5,2,reputation = 0,,3000.0
,9,0,5,3,reputation = 0,,3000.0
1.0,9,-150,5,4,reputation = 0,1.0,2850.0
0.0,9,0,5,5,reputation = 0,0.5,2850.0
1.0,9,-150,5,6,reputation = 0,0.6666666666666666,2700.0
0.0,9,0,5,7,reputation = 0,0.5,2700.0
0.0,9,0,5,8,reputation = 0,0.4,2700.0
,9,0,5,9,reputation = 0,0.4,2700.0
,9,0,5,10,reputation = 0,0.4,2700.0
1.0,9,-150,5,11,reputation = 0,0.5,2550.0
0.0,9,0,5,12,reputation = 0,0.42857142857142855,2550.0
,9,0,5,13,reputation = 0,0.42857142857142855,2550.0
0.0,9,0,5,14,reputation = 0,0.375,2550.0
1.0,9,-150,5,15,reputation = 0,0.4444444444444444,2400.0
,9,0,5,16,reputation = 0,0.4444444444444444,2400.0
,9,0,5,17,reputation = 0,0.4444444444444444,2400.0
0.0,9,0,5,18,reputation = 0,0.4,2400.0
,9,0,5,19,reputation = 0,0.4,2400.0
0.0,9,0,5,20,reputation = 0,0.36363636363636365,2400.0
,9,250,5,21,reputation = 0,0.36363636363636365,2650.0
,9,0,5,22,reputation = 0,0.36363636363636365,2650.0
1.0,9,-150,5,23,reputation = 0,0.4166666666666667,2500.0
,9,0,5,24,reputation = 0,0.4166666666666667,2500.0
,9,0,5,25,reputation = 0,0.4166666666666667,2500.0
1.0,9,-150,5,26,reputation = 0,0.46153846153846156,2350.0
,9,0,5,27,reputation = 0,0.46153846153846156,2350.0
,9,0,5,28,reputation = 0,0.46153846153846156,2350.0
0.0,9,0,5,29,reputation = 0,0.42857142857142855,2350.0
0.0,9,0,5,30,reputation = 0,0.4,2350.0
,9,0,5,31,reputation = 0,0.4,2350.0
1.0,9,-150,5,32,reputation = 0,0.4375,2200.0
,9,250,5,33,reputation = 0,0.4375,2450.0
1.0,9,-150,5,34,reputation = 0,0.47058823529411764,2300.0
0.0,9,0,5,35,reputation = 0,0.4444444444444444,2300.0
,9,0,5,36,reputation = 0,0.4444444444444444,2300.0
,9,0,5,37,reputation = 0,0.4444444444444444,2300.0
0.0,9,0,5,38,reputation = 0,0.42105263157894735,2300.0
0.0,9,0,5,39,reputation = 0,0.4,2300.0
,9,250,5,40,reputation = 0,0.4,2550.0
,9,250,5,41,reputation = 0,0.4,2800.0
1.0,9,-150,5,42,reputation = 0,0.42857142857142855,2650.0
,9,0,5,43,reputation = 0,0.42857142857142855,2650.0
1.0,9,-150,5,44,reputation = 0,0.45454545454545453,2500.0
