version,reputation,group,player,round,action,avg_action,wealth
disincentivized strategic,reputation = 0,081106_1449,12,6,0.3,0.35833333333333334,771.40002
disincentivized strategic,reputation = 0,081106_1449,12,7,0.55,0.38571428571428573,900.4000199999999
disincentivized strategic,reputation = 0,081106_1449,12,8,0.3,0.375,1036.0
disincentivized strategic,reputation = 0,081106_1449,12,9,0.5,0.3888888888888889,1166.0
disincentivized strategic,reputation = 0,081106_1449,12,10,0.35,0.385,1302.2
disincentivized strategic,reputation = 0,081106_1449,12,11,0.3,0.3772727272727273,1428.2
disincentivized strategic,reputation = 0,081106_1449,12,12,0.25,0.3666666666666667,1559.2
disincentivized strategic,reputation = 0,081106_1449,12,13,0.45,0.37307692307692314,1690.2
disincentivized strategic,reputation = 0,081106_1449,12,14,0.25,0.3642857142857143,1845.2
disincentivized strategic,reputation = 0,081106_1449,12,15,0.5,0.37333333333333335,1971.2
disincentivized strategic,reputation = 0,081106_1449,12,16,0.3,0.36875,2102.0
disincentivized strategic,reputation = 0,081106_1449,12,17,0.5,0.3764705882352941,2252.0
disincentivized strategic,reputation = 0,081106_1449,12,18,0.4,0.3777777777777778,2384.0
disincentivized strategic,reputation = 0,081106_1449,12,19,0.3,0.37368421052631584,2508.3999
disincentivized strategic,reputation = 0,081106_1449,12,20,0.2,0.36500000000000005,2632.3999
disincentivized strategic,reputation = 0,081106_1449,12,21,0.4,0.3666666666666667,2768.3999
disincentivized strategic,reputation = 0,081106_1449,12,22,0.3,0.3636363636363637,2902.3999
disincentivized strategic,reputation = 0,081106_1449,12,23,0.2,0.35652173913043483,3032.8
disincentivized strategic,reputation = 0,081106_1449,12,24,0.1,0.3458333333333334,3161.2
disincentivized strategic,reputation = 0,081106_1449,13,1,1.0,1.0,104.0
disincentivized strategic,reputation = 0,081106_1449,13,2,1.0,1.0,212.0
disincentivized strategic,reputation = 0,081106_1449,13,3,1.0,1.0,344.0
disincentivized strategic,reputation = 0,081106_1449,13,4,1.0,1.0,488.0
disincentivized strategic,reputation = 0,081106_1449,13,5,1.0,1.0,624.0
disincentivized strategic,reputation = 0,081106_1449,13,6,1.0,1.0,784.0
disincentivized strategic,reputation = 0,081106_1449,13,7,1.0,1.0,944.0
disincentivized strategic,reputation = 0,081106_1449,13,8,1.0,1.0,1104.0
disincentivized strategic,reputation = 0,081106_1449,13,9,1.0,1.0,1264.0
disincentivized strategic,reputation = 0,081106_1449,13,10,1.0,1.0,1424.0
disincentivized strategic,reputation = 0,081106_1449,13,11,1.0,1.0,1584.0
disincentivized strategic,reputation = 0,081106_1449,13,12,1.0,1.0,1744.0
disincentivized strategic,reputation = 0,081106_1449,13,13,1.0,1.0,1904.0
disincentivized strategic,reputation = 0,081106_1449,13,14,1.0,1.0,2064.0
disincentivized strategic,reputation = 0,081106_1449,13,15,1.0,1.0,2224.0
disincentivized strategic,reputation = 0,081106_1449,13,16,1.0,1.0,2384.0
disincentivized strategic,reputation = 0,081106_1449,13,17,1.0,1.0,2544.0
disincentivized strategic,reputation = 0,081106_1449,13,18,1.0,1.0,2704.0
disincentivized strategic,reputation = 0,081106_1449,13,19,1.0,1.0,2864.0
disincentivized strategic,reputation = 0,081106_1449,13,20,1.0,1.0,3024.0
disincentivized strategic,reputation = 0,081106_1449,13,21,1.0,1.0,3184.0
disincentivized strategic,reputation = 0,081106_1449,13,22,1.0,1.0,3344.0
disincentivized strategic,reputation = 0,081106_1449,13,23,1.0,1.0,3504.0
disincentivized strategic,reputation = 0,081106_1449,13,24,0.0,0.9583333333333334,3684.0
disincentivized strategic,reputation = 0,081106_1449,14,1,0.3,0.3,174.0
disincentivized strategic,reputation = 0,081106_1449,14,2,0.35,0.32499999999999996,347.0
disincentivized strategic,reputation = 0,081106_1449,14,3,0.65,0.4333333333333333,514.0
disincentivized strategic,reputation = 0,081106_1449,14,4,0.8,0.5249999999999999,678.0
disincentivized strategic,reputation = 0,081106_1449,14,5,0.7,0.5599999999999999,844.0
disincentivized strategic,reputation = 0,081106_1449,14,6,1.0,0.6333333333333333,1004.0
disincentivized strategic,reputation = 0,081106_1449,14,7,1.0,0.6857142857142857,1164.0
disincentivized strategic,reputation = 0,081106_1449,14,8,1.0,0.725,1324.0
disincentivized strategic,reputation = 0,081106_1449,14,9,1.0,0.7555555555555555,1484.0
disincentivized strategic,reputation = 0,081106_1449,14,10,1.0,0.78,1644.0
disincentivized strategic,reputation = 0,081106_1449,14,11,1.0,0.8,1804.0
disincentivized strategic,reputation = 0,081106_1449,14,12,1.0,0.8166666666666668,1964.0
disincentivized strategic,reputation = 0,081106_1449,14,13,1.0,0.8307692307692308,2124.0
disincentivized strategic,reputation = 0,081106_1449,14,14,1.0,0.8428571428571429,2284.0
disincentivized strategic,reputation = 0,081106_1449,14,15,1.0,0.8533333333333334,2444.0
disincentivized strategic,reputation = 0,081106_1449,14,16,1.0,0.8625,2604.0
disincentivized strategic,reputation = 0,081106_1449,14,17,1.0,0.8705882352941177,2764.0
disincentivized strategic,reputation = 0,081106_1449,14,18,1.0,0.8777777777777778,2924.0
