reputation,group,player,round,action,payoff,avg_action,wealth
reputation = 0,3,16,25,1.0,0,0.3684210526315789,955
reputation = 0,3,16,26,,35,0.3684210526315789,990
reputation = 0,3,16,27,,35,0.3684210526315789,1025
reputation = 0,3,16,28,0.0,35,0.35,1060
reputation = 0,3,16,29,0.0,35,0.3333333333333333,1095
reputation = 0,3,16,30,,35,0.3333333333333333,1130
reputation = 0,4,1,1,0.0,70,0.0,70
reputation = 0,4,1,2,0.0,35,0.0,105
reputation = 0,4,1,3,0.0,70,0.0,175
reputation = 0,4,1,4,1.0,0,0.25,175
reputation = 0,4,1,5,0.0,70,0.2,245
reputation = 0,4,1,6,1.0,0,0.3333333333333333,245
reputation = 0,4,1,7,,35,0.3333333333333333,280
reputation = 0,4,1,8,0.0,35,0.2857142857142857,315
reputation = 0,4,1,9,,35,0.2857142857142857,350
reputation = 0,4,1,10,1.0,0,0.375,350
reputation = 0,4,1,11,0.0,70,0.3333333333333333,420
reputation = 0,4,1,12,0.0,35,0.3,455
reputation = 0,4,1,13,,35,0.3,490
reputation = 0,4,1,14,1.0,0,0.36363636363636365,490
reputation = 0,4,1,15,,35,0.36363636363636365,525
reputation = 0,4,1,16,0.0,35,0.3333333333333333,560
reputation = 0,4,1,17,,35,0.3333333333333333,595
reputation = 0,4,1,18,0.0,35,0.3076923076923077,630
reputation = 0,4,1,19,,35,0.3076923076923077,665
reputation = 0,4,1,20,0.0,35,0.2857142857142857,700
reputation = 0,4,1,21,,35,0.2857142857142857,735
reputation = 0,4,1,22,0.0,35,0.26666666666666666,770
reputation = 0,4,1,23,,35,0.26666666666666666,805
reputation = 0,4,1,24,0.0,35,0.25,840
reputation = 0,4,1,25,,35,0.25,875
reputation = 0,4,1,26,0.0,35,0.23529411764705882,910
reputation = 0,4,1,27,,35,0.23529411764705882,945
reputation = 0,4,1,28,0.0,35,0.2222222222222222,980
reputation = 0,4,1,29,,35,0.2222222222222222,1015
reputation = 0,4,1,30,0.0,35,0.21052631578947367,1050
reputation = 0,4,2,1,0.0,70,0.0,70
reputation = 0,4,2,2,1.0,50,0.5,120
